{u'$date': u'2017-02-25T14:43:58.000Z'} , 835500593158447104 , _drudgereport_ , Magician in underwear found hanging in closet of Hollywood's Magic Castle...
{u'$date': u'2017-02-25T14:44:01.000Z'} , 835500605527425026 , SaikoTochisha , { } Nah   I'll save you   you suicidal creep ～！
{u'$date': u'2017-02-25T14:44:08.000Z'} , 835500631997702148 , BeltwayPundit , Magician in underwear found hanging in closet of Hollywood's Magic Castle...
{u'$date': u'2017-02-25T14:44:09.000Z'} , 835500636892356608 , EpicalBreed , Soot – We don’t want to die  Rivers residents beg govt
{u'$date': u'2017-02-25T14:44:09.000Z'} , 835500637131427840 , creamiee_Dee , Soot – We don’t want to die  Rivers residents beg govt
{u'$date': u'2017-02-25T14:44:09.000Z'} , 835500637454536704 , MrTonixGerett , i would do this kind of stuff but i wanna die too young sooo...
{u'$date': u'2017-02-25T14:44:12.000Z'} , 835500652058943490 , disscoisdead , I don't want you to die. If you were gone i know a lot of people would be really devastated.
{u'$date': u'2017-02-25T14:44:13.000Z'} , 835500656211464192 , BonitaAssMarie , suicide girls lesbian action males porn
{u'$date': u'2017-02-25T14:44:19.000Z'} , 835500678063796227 , purifiedbarone , i did everything but my eyebrows today and i want to die
{u'$date': u'2017-02-25T14:44:20.000Z'} , 835500685227622400 , autumnreynoldss , If you ever wanna die fall Inlove and you'll get killed
{u'$date': u'2017-02-25T14:44:23.000Z'} , 835500695273017344 , Ron_GriffithsJr , Boy  I hope Democrats do this! tcot teaparty MAGA RedNationRising RedState ccot tlot Conservative…
{u'$date': u'2017-02-25T14:44:27.000Z'} , 835500711714635777 , actualIyambs , im half way done with my book and i got it a day ago im sad because i dont want it to end
{u'$date': u'2017-02-25T14:44:33.000Z'} , 835500737157345282 , Malicious_Fiend , It's 9:44 AM but I already want to die
{u'$date': u'2017-02-25T14:44:36.000Z'} , 835500751183097857 , MeAndMySadness , 'Everything is your fault  you deserve to die!'
{u'$date': u'2017-02-25T14:44:42.000Z'} , 835500774608224260 , sophiehammonddx , Half term has been so good and I don't want it to end 😫
{u'$date': u'2017-02-25T14:44:44.000Z'} , 835500784364179456 , chattha_nadeem , appreciate your determination to suicide
{u'$date': u'2017-02-25T14:44:50.000Z'} , 835500808988839936 , MTRooks , Several people attempted to convince me to choose assisted suicide  due to my age and chronic illness. Never an option!!
{u'$date': u'2017-02-25T14:45:01.000Z'} , 835500857181470721 , javimartinmago , Body Found at Magic Castle: 5 Fast Facts You Need to Know –
{u'$date': u'2017-02-25T14:45:12.000Z'} , 835500903088128001 , 1776_Media , Possible suicide  .....in a closet... HollyWeird ... EnoughSaid
{u'$date': u'2017-02-25T14:45:21.000Z'} , 835500939188518912 , MAGA_Thunder , You  journalists  (sic) have committed professional suicide. No one trusts you anymore. You're increasingly irrelevant.
{u'$date': u'2017-02-25T14:45:25.000Z'} , 835500955051372544 , sav_montgomery_ , I need to talk to someone and all of my 4 friends are busy lol I want to die
{u'$date': u'2017-02-25T14:45:30.000Z'} , 835500978837340160 , JU_Boutit , Buss down buss down buss down bitch I'm drowning 🌊
{u'$date': u'2017-02-25T14:45:40.000Z'} , 835501019849195521 , _Michelle945_ , Indeed  wondering why it didn't end already. If had done this ... we all know what would have happe…
{u'$date': u'2017-02-25T14:45:45.000Z'} , 835501040556351488 , same_pie , Me: i want to dieMe: *gets really sick*Me: wait no
{u'$date': u'2017-02-25T14:45:48.000Z'} , 835501051625132034 , iciamae2 , ang solid nung suicide ni james arthur 💔🔫🔪
{u'$date': u'2017-02-25T14:45:58.000Z'} , 835501093866115072 , Jamshedpur_aap , Murder of Sonali at Vananchal Dental College Garhwa is a blatant example of turning a murder case into a suicide ca…
{u'$date': u'2017-02-25T14:46:04.000Z'} , 835501121900806144 , sydneysowazz , every time I watch this I become more and more suicidal
{u'$date': u'2017-02-25T14:46:08.000Z'} , 835501137495220225 , AlwaysJLover , i thought i'd update u a little bit. i dont know why  i just felt like it💘 if u ever find a way for me…
{u'$date': u'2017-02-25T14:46:09.000Z'} , 835501139940552704 , Marvel_Makia , Suicide attacks on 2 security centers in Syrian city of Homs killed at least 32...  by cnnbrk via @c0nvey
{u'$date': u'2017-02-25T14:46:09.000Z'} , 835501139672051713 , STSTEVENEZE , Suicide attacks on 2 security centers in Syrian city of Homs killed at least 32...  by cnnbrk via @c0nvey
{u'$date': u'2017-02-25T14:46:10.000Z'} , 835501143874748416 , madlenb75 , Thanks my dear tink ..today we have many explosions in my city made by suicidal terrorists ..today is so sad
{u'$date': u'2017-02-25T14:46:11.000Z'} , 835501147465125893 , _shantelstyles , Ren was 29 suffered from depression and cause of death is possibly suicide.
